,139M_,143_,179_,201_,316_284,331_284,5_317,521_284,863_317,9_317,98_,AB551,AB555,AB577,AB580,AB636,AB790,PAR1006_3,PAR1022,STG139,STG195,STG282
AHR,19,25,12.3333,22,13.0714,23.5,44,68,22.1667,29,15.7778,13.2143,22,16.5,20.35,29,5.5,0,14.6667,16,10.3333,16
AHRR,0,0,34.5,44,15,44,57,0,0,0,22,0,0,0,0,29,0,0,0,0,0,0
AR,29,15,26,27,41.5,14,9.333335,12.25,25,17,21.5,30,9.33333,16.66665,51,9,13.2857,8.6,57.2,25,22,22.3333
ARID1A,9.5,39,10.74615,13.25,11.19375,17.6667,34.4286,52,22.22855,32.75,12.8333,14.75,16.5,19.5,23.4286,28.6667,7.66667,0,11,0,10.4167,16
ARID2,9.75,44,26,26,8.5,26,37,0,32.5,26.25,11.625,14.6667,0,31,23.75,29,0,0,0,0,11.5,0
ARNT,49.5217,143.8,25.93965,32.0972,60.093,38.80235,68.703,211.8,105.333,67.0625,50.6727,22.60975,8,22.5294,41.8226,34.33335,15,6.8,50,25.5,15.8846,23.6667
BAP1,31,0,51,50,54,56,92,0,0,0,51,20,0,0,0,0,0,0,0,0,0,0
BRCA1,90,195.5,55.2857,72,99,71.4,126.75,0,163,148,76,30.2,0,21,110.667,71.6667,27,0,83,0,11.6667,28
BRD2,89.29165,192.375,74.7125,88.1597,106.6025,94.7,154.0415,173,163.548,165.857,85.82145,41.3,14,19.25,90.02275,52.675,15,5.3875,65.3571,16.25,15.73215,26
BRD4,31.5,46,27.3155,35.0185,30.33335,32.9286,53.30235,107,50.2222,47,27,15.4286,11.125,8.45,26.75,21.9545,7.5,0,25.83335,18,7,16.625
BRD9,23,36.66665,19.3333,22.5,22.3333,23.3333,40,88,39.75,36.1,21.0833,12.1111,0,8.25,19,19.1667,0,0,18.75,0,6.58333,23
CDK9,59.75,230.5,57.5,108,130.5,65.33335,189.5,0,200,239.5,76.75,42.08335,0,19.5,125,89.5,38.5,0,69,0,17,0
CDKN1B,68.22555,134.528,46.44445,54.1649,64.49355,55.5011,102.8325,140.9165,108.5245,105.5125,54.3097,31.5837,6.2,17.98485,62.57795,39.18,15.3875,7.18182,53.24545,44.5,15.69505,23.1429
CEBPA,24.5,71,18.10415,27.1,21.625,20.25,48.6667,72,42.5,54,22.0625,12.75,0,8.5,28.3333,26.5,0,0,22,0,7.75,18.75
CEBPB,7.625,9.27273,3.90244,5.5,5.70968,4.3871,8.95238,16.2857,10.3846,9.875,4.6,3.51724,0,7.88889,5.66667,4.90476,5.85714,0,6.83333,10.5,3.53226,6
CHD8,0,0,0.229182,0.185185,0.1745925,0,0,0,0,0,0.292683,0.290323,0,0,0,0,0,0,0,0,0.0714286,0
CREB1,36,0,35,46,59,42,82.5,0,56,80,28.5,42,0,16,58,61,0,0,0,0,14,0
CREBBP,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
CTBP1,0,0,21,16,22,22,0,20,0,0,18,0,0,0,0,0,0,0,0,0,0,0
CTBP2,0,0,41,36,19,37,45,29,0,0,27,19,0,0,18,30,0,0,0,0,0,0
CTCF,18.8205,34.1304,17.5789,17.75,19.6182,18.6377,30.55635,32.798,29.6207,29.4103,18.2717,11.439,5.14286,6.492065,17.3667,11.8919,4.66667,4.183335,13.7143,7.66667,5.69231,5.42857
CTCFL,92.33335,141,75.1905,80.375,71,94.9,142.375,130,149,178.6665,76.95235,43.7,0,17,73,36.625,14.5,0,74,0,16.83335,0
CTNNB1,34.5,0,67,77.5,75,56.5,118,0,0,77.5,56.5,34.5,0,0,60.5,53.5,0,0,0,0,18,0
DNMT3A,12,29.4,11.2273,13.6429,14.0625,12.7059,24.7273,0,19,24.7778,13.0952,11,0,5.14286,15.5833,13.7273,6.2,0,7.75,0,5.8,0
E2F1,66.25,203.125,51.4545,59.9259,92.4286,66.7143,131.706,174.7085,159.889,139.077,61.4524,34.9545,0,20.4444,93.4,49.75,23,4.957145,76.8,33,14.8462,34.6667
E2F4,70.8,256.6665,42.7143,56.5,102.7,63.8,141.7855,0,172.75,189.5,54.6667,40.7,0,32.375,103.7855,60.7857,28.5,9.5,125,26,19.25,72
EGR1,79.5,272,60.2,73.6667,123.333,107.333,150.333,50,240,169.5,71.4,52,0,23.5,94.3333,79.5,26,0,58,0,27.5,21
ELF1,64.5714,268.75,52.1176,65.4545,106.636,70.8462,160.778,148.5,208.5,178.286,64.875,42.0833,9,28.2,117.875,72.625,24,7.66667,78,20,17.2857,43.5
EN1,24.5,39,25.125,32,8,25.5,41.75,0,42,24,16.125,12.666665,0,20,21.5,23.5,0,0,0,0,0,0
EP300,11.83335,32.5,12.39285,13,13.76155,20.375,32,58,23.15,34.48215,12.1146,13.1266,15,21.3333,22.53335,26,6,0,15,19.3333,12,19
ERG,96.66685,207.875,90.44045,99.3504,123.8,112.4665,184.6875,133.333,189.0835,200.6115,108.273,52.03335,0,23.875,120.442,65.39285,10.06665,0,77.25,0,19.5278,13.75
ESR1,17.3,42.6667,17,17,16.3846,25,38.6667,44.6667,24.56665,34,16.1351,18.1429,12,24.29165,27.5,30,5.33333,3.27273,11.4643,8.75,14.5,10.26665
ESRRA,15.022725,40.25,12.009275,13.65625,13.98025,18.9,34.6,52.7,30.375,42.9318,12.21335,14.35525,0,15.125,21.7738,23.8846,5,0,12,14,9.791685,9.66667
EZH2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOS,5.689655,5.69913,2.981085,3.07762,3.83607,3.316665,4.354165,12.57955,4.9607,4.829045,3.12161,3.27486,0,3.25,4.068185,4.04762,0,3.16667,5.625,19.5,2.94118,6.25
FOSL1,18,8.8,7.041665,10.714285,8.82051,9.069445,12.82145,67,18.04165,11.8,8,6.77778,0,5.25,7.592855,9.833335,0,0,12.6667,21.5,6,18.75
FOSL2,31,37,21.29165,25.625,15.55555,21.33335,29.5,37.6667,29.5,28.2,20.625,15.7778,0,22,20.8571,20.7143,0,0,21.5,29,12.5,24
FOXA1,5.86039,23.25,5,6.4,5.328945,9.507575,18.125,29.7143,12.9222,17.95835,5.59275,6.85714,9,9.85714,13.8667,13.07895,3.77778,5.09091,6.1,8.5,4.92308,9.4
FOXM1,21.75,71.5,23.83335,23,24.25,30.83335,58.25,0,45.5,84,20.83335,27.25,0,33.75,64.5,51.5,15,0,16.5,0,16.5,14
GABPA,67.4286,254.5,54.3889,68.5455,97.5,73.4615,141.3,143.75,167.8,169.857,64.7059,38.6154,0,26.6,91.1,63.5556,28,6.33333,76.3333,19,14.5,37.5
GATA3,10.3333,28,11.3333,14.41665,7.444445,14.14585,31.75,27.875,18,23.8,8.32143,9.5,18,16.5,16,21.8333,3.3,0,9.5,0,8.5,16.5
GREB1,14,65,27,38,19,54,101,0,0,65,25,31,0,40,61,74,0,0,0,0,28,0
GRHL1,30.5,51.75,52.25,45.375,38,53.3,72,32.33335,55,74.83335,28.41665,29.875,0,15.5,40.16665,46.33335,0,0,25,0,8.66667,25
GRHL2,17.3333,46.25,16.6452,20.75,20.3043,23.6087,37.8235,41.8333,34.2,45.6923,18.0667,15.4545,6.583335,11.4444,23.2353,22.25,4.4,4.8,14.6,14,8.14286,16.3333
GTF3C2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDAC1,0,0,60,46,55,65,100,17.25,0,57,45,31,0,0,66,50.5,0,0,0,0,15,0
HDAC2,34,91,23.75,26.6667,24.3333,32.6667,77,65,74,57,22.25,25.3333,0,41,45.5,52.5,0,0,21,0,18.5,0
HIF1A,47.5577,109.394,38.2422,42.5,53.4574,46.828,80.9857,92.05,86.9231,91.0385,43.1066,26.5543,6.18182,17.7436,53.4118,34.8615,12.4483,6.72727,41.75,21.6,13.5517,20.8462
HSF1,11.5,24.6667,32.3,30.0588,19.91665,22.9722,36.0357,32,15.875,19.2,22.4375,15.833335,12,8.57143,13.6923,19.73075,9.33333,5.5,10.75,0,7.54545,12.6667
JUN,55.1429,73.2037,33.33335,38.5,37.7667,36.05665,63.0658,109.125,71.5,73.39775,34.6515,23,6.8,16.4,36.8682,29.75,14.0577,6.07843,30,34.6667,13,19.2143
JUNB,4,0,0,6.33333,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUND,32,47.5,19.25,42,16.5,27,67.75,0,54,71.5,29.08335,24.5,0,41,37.25,38.75,0,0,15,0,17,0
KDM1A,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KDM4A,0,0,34,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
KDM5A,65.5,124.5,54.25,76.5,72.5,57,130.25,0,118,98.5,52.25,31.58335,0,17,86.75,66.75,19,0,50,0,17.25,0
KDM5B,81,135.5,60,66.53335,90.5,75,127.2855,63.5,121.5,116.333,62,38,10.5,20,81,54.33335,12.8333,5.28846,43.875,21.16665,18,20.3333
KDM5C,0,0,41,0,28,38,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
KDM6A,69.5,218.5,57.875,80.25,88.25,68,203,38.925,180.5,180.75,65.75,35.25,0,31,105.83335,82,27.5,0,59.5,0,13.5,0
KMT2B,0,0,44,0,0,44,0,32,0,0,39,0,0,0,0,0,0,0,0,0,0,0
KMT2C,20,64,19.25,24.2857,17,26.5,45.31315,42.5,54,61,16.4,17.4286,9.5,20,32.5,37,13.75,0,20,19,10.583335,21
LIN9,73.25,315.5,56.3,73.66665,108.9165,80.79165,167.4165,0,215.25,178.25,74.925,50.5,0,30.75,117.8335,73,41,0,95,0,15.41665,29
LMTK3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX,68.5556,191.5,57.125,59.5625,82.7222,71.3889,131.714,301,144.143,152.2,69.6522,40.1176,11,27.5714,87.6154,63.5833,21.4,7,70.25,27,17.7273,32.3333
MED1,21.5,0,34,42.5,26,36,40.5,25.5,0,21,24,25,0,0,0,27,0,0,0,0,0,0
MED12,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEN1,42,126,29.5,55,88.25,63.5,169.5,0,84.5,122.5,42,54,0,17,94.5,76.5,15,0,0,0,0,0
MYC,65.5,198.5,57.1429,62.75,99.775,85.5,163,124.667,154.286,179.278,77.57145,45.75,12.5,30.5,102.583,66.25,20.5,7.791665,79.08335,22,19.5,34
NCAPG,27,30,47,36.5,24.5,58,63.5,0,24,40,38.75,42.5,0,24,41.5,49.5,0,0,0,0,19,0
NCAPG2,39,63,22.25,26.5,17.3333,31,56.5,0,32,70,25.6667,23.3333,0,52,37,43,0,0,0,0,37,0
NCOA1,32.5,35,32,27,22.3333,26,41.5,0,48,27.5,24,15,0,32,18.3333,30.75,0,0,0,0,14,0
NCOA3,0,16,31,33,31,29,33,25,11.6,11.5714,19,19.541665,0,6.4,6.44444,8.77778,0,0,0,0,4.125,12.5
NELFE,73,286,60.5,72.5,110.667,90,189.4,161.5,217.5,194.5,73.35415,52.6667,0,26,143,73,28.5,0,64.5,0,15,38
NIPBL,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTCH1,62,142,58,115,146,69,166,0,130,163,70.5,67,0,19,122,102,31.5,0,0,0,26,0
NR2F2,32.5,97.89285,27,40.27275,16.1818,38,44.9,84.66665,31,35.66665,16.55555,18.42855,8,26.38885,27.26665,32,9.875,9.33333,26.2,20.5,16.5,18
NR3C1,15.6,27.25,12.39775,10.625,7.5,12.2111,20.66665,30.75,17.5,21,10.5455,8.663635,0,14.3,15.25,18.1667,0,0,11.25,0,8,20
NRF1,105,273.6,78.5,90,124.2,95.1333,187.333,139.25,211.2,202.444,90.7778,42.8667,0,29.3333,121,61.6667,25.25,9.33333,93.6667,19,17.375,35.5
PBX1,68,205,48,96,188,67,210,0,165,192,67,48,0,23,173,119,41,0,0,0,18,0
PCGF2,0,0,24,34,0,17,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
PGR,10.75,28.375,11.675,11.5,10.0652,16.7,27.1333,89,20.875,27.33335,10.05185,11,10.833335,14.25,15.5,19.58335,4.4,0,11,14.5,6.5,12.5
PML,42,107,47,78,112,96,186,0,106,126,57,64,0,17,109,74,0,0,0,0,0,0
PRKCQ,0,0,35.5,36,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
RAD21,52.5,66.5,46,46.75,48.375,48.76785,81.75,44.5,67.125,72.5,39.59615,25.625,10.5,12,36,27.96665,9,4.625,19.72915,14,14.04165,7.733335
RB1,0,0,37,0,22,28.5,0,0,0,0,26,20,0,0,0,27,0,0,0,0,0,0
RBPJ,77.375,184.75,54.0294,84.975,91.08335,80.73335,122,303.75,138.5,144.6505,81.301,36.98335,0,25.6667,75.5404,58.85,20.91665,13.16665,84.16665,26,20,44
RELA,35.1,62.625,39,24,33.5,35.83335,35,63,44.875,75.5,40.16665,20,0,23.125,23,51,0,0,0,0,12.58335,0
REST,9.16667,19.75,9,10.2222,7.7,10.8889,16.4286,26,16.25,14.5,7.92308,6.7,0,5.75,9.14286,9.5,0,0,0,0,6,15
RNF2,0,0,39.5,51,25,48,72,0,0,0,38,26,0,0,28,50,0,0,0,0,0,0
RORC,12.45,7.666665,13.22225,15.6875,10.6984,10.777795,9.633335,9,15.33335,7.575,10.43055,8.285715,14,6.041665,5.9,6.716665,0,13.5,14,0,8.416665,18
RUNX1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUNX2,36.3095,74.75,25.41665,30.7611,34.514,30.88095,61.1875,87.75,57.9,65.5357,30.84375,18.75,14,14.2,43.7847,25.65,6.625,0,30.66665,20,13.04165,12.75
RXRA,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATB1,0,0,0,3.08333,0.0588235,0,0,4.66667,0,0,0,0.190476,0,0,0,0,0,0,0,0,0,0
SFPQ,10.1765,27.75,9.78571,10.3214,13.6774,11.3871,21.9565,57,22.8462,22.9444,10.7073,7.5,6.25,6,14.8261,9.36364,5.7,0,11.2857,0,4.31579,6.6
SIN3A,21.8889,85.5,17.375,23,28.8235,29.7059,64.5,79,54.8571,60.6,22,20,10,21.8571,43.25,37,9.8,0,31.25,22,13.3,28
SMAD1,0,0,29.5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
SMAD3,83.25,209.896,64.35415,75.2667,99,77.5588,142.038,127.854,170.293,160.743,77,40.2653,6.875,20.2143,97.63565,51.1667,19.175,6.1625,79.6857,21.5,15.08095,30.83335
SMARCA4,21.5,34,26,29,17.25,34,47.16665,23.5,31,39,20,16,0,19,30.6667,35,0,0,18,0,15.5,18
SMARCB1,19,47,31,32,21.3333,35,66.5,23.5,45,65,21.75,21.75,0,31,40,51,0,0,18,0,17,0
SMARCC1,48.5,51,67.25,79,77.5,77.5,112.5,49,63,88,43.75,40.5,0,0,57,49,0,0,0,0,14,0
SMC1A,15,29.5,13.76,15,16,16.5,31.7143,32.3333,26.5,27.2,13.6087,9.11111,7,5.414285,14.6154,11.5714,8,6.42857,11.2222,21,4.71429,9.85
SREBF2,22,22,28.45,38.25,27.875,30.75,23.33335,13.5,24,19.75,21.75,23.375,0,10,15.33335,18.83335,15,18,23,0,19,18
SRF,53,242,41,56.3333,64.75,54.5,108.667,130,194,142,45.2,32.5,0,32,74.3333,54,27,0,52,0,13,24
STAG1,12.26895,20.2281,10.4615,10.353725,11.0463,10.359615,18.9542,36.7857,18.1087,17.8345,8.681475,5.54701,0,3.27273,7.24812,7.722975,0,0,8,0,2.75,0
STAG2,40.5,53.15,49,65,60,51.6667,97,34.3333,55.25,67.6667,47.25,19.8,0,5.66667,45,27.33335,14,0,16.83335,10.3333,7.166665,7
STAT3,25.95,32,16.1429,22.4194,23.78125,18.83335,35.7273,40,35.8125,35,20.2222,11.875,0,7.695235,21.6667,17.5,7.172725,4.5,14,18,7.67172,15.55
SUMO2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUZ12,0,0,69,60,76,52,112,0,0,0,53,37,0,0,56,0,0,0,0,0,0,0
TAF1,68,172,69,109,90,70.5,258,0,143,188,84,45,0,24,166,100,0,0,0,0,28,0
TCEA2,0,0,32.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCF12,37,91,19.5,31,28.5,37.3333,81,0,53,53,24,27.6667,0,58,47.5,57,0,0,0,0,20,0
TCF7,36,24,37.5,40.75,34.75,33.25,34,0,57,44,42.5,19.75,0,0,15.5,15.5,0,0,17,0,0,0
TCF7L2,29.63335,111.8335,30.3846,42.375,56,47,79,90.58335,90.3335,79.03335,43.9167,24,16,22.875,53.95835,38.29165,19.6667,0,49.75,0,9.29165,39
TEAD1,14.26389,38.75,13.2589,17.0357,16.5625,16.65625,28.91665,118,37.0952,39.4028,13.67725,11.71875,0,8.66665,20.41665,19.41665,9.916665,0,18.125,0,7.75,25.75
TEAD4,28,42,27.625,48.5,25.5,27.41665,53.5,33.75,50,41,22.25,20.5,0,15,31,38.75,19,0,17.5,0,11.75,0
TET2,38.5,329,58,62.25,99,74,153.5,0,248,358,62,35,0,34,154.5,73.5,49,0,58,0,14,0
TFAP2A,40,100,20.25,38,31.3333,57,84,79,60,135,34.6667,43,0,50,52.5,53.5,19,0,29,0,21,0
TFAP2C,39.2,126.6925,37.32355,45.11805,48.50455,51.251,95.86605,82.55555,71.175,109.7385,44.61135,33.0074,8.5,27.6979,60.9074,47.7037,14.5,8.979165,44.875,23,19.43975,29.5
TLE3,4.42857,19.875,7.084745,5.27273,10.73897,10.277615,11.1875,19.7143,9.21429,11.35,9.96509,12.8,6.208335,10,15.9167,12.398135,7.4375,8.2,11.690495,44,8.9,9.2
TOP2A,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53,23,18,15.8,21,10.75,15.25,30.5,36,22.25,25,12.6667,13,17,10.3333,12,11.3333,11.5,0,16.23335,24.5,10.5,17.25
TP63,20.88885,16,11.1429,12.42855,11.65625,10.542505,16.94545,37,18.10715,19.2778,10.66665,8.01736,0,7.410715,9.383335,8.216665,0,6.25,8.375,20.5,5.916665,11.5
TRIM25,59.4,101.333,50.5,73,75,57.0625,62.5,56.5,167,65.1,37,31.3125,17,23.3333,26,36,14,9,44,0,18,31
TRPS1,15,20.75,29,34,3.85714,21.5,30,52,25,19.875,15.75,15,0,12,9.8,18,0,0,0,0,0,0
WWTR1,16.25,26.5,14.25,14,13.33335,14.5,25.08335,0,29.25,18.5,10.275,6.833335,0,0,12.25,16,0,0,0,0,0,0
XBP1,24.5,84,40.5,57.5,81.5,67.5,108,0,96,98.5,58,47,0,0,60.5,49.5,14,0,0,0,19,0
YAP1,17,32,15.9,21.5,13.9,22.3333,33.6667,45.5,32.25,33,15,12.2,0,17.25,19,25,15,0,15,0,9.33333,17
ZBTB17,65,0,56,81,129,58.5,139,57,99,113,60.5,28.5,0,14,81,45,0,0,0,0,18,0
ZFX,107.8335,160.875,76.72875,83.52725,93.75,90.87515,132.0335,227.5,121.0835,143.393,89.8375,37.75,19,19.33335,98.3125,49.75,16.41665,6.33333,79.66665,0,17.3125,21.5
ZMYND8,38.5,159,34.25,57.5,51,61.3333,127.5,52.5,108,207,28.625,65,0,55,89,57.5,0,0,41,0,22.5,0
ZNF143,49.1146,150.518,43.84485,44.34165,71.05455,52.2054,102.861,61.2778,101.8235,109.3335,49.67065,30.91665,7,17.6111,66.5592,41.20835,17.25,6,48.16665,13.5,10.58825,20.5
ZNF217,15,38,17,30,11,28.5,69,38,33,41,15,14.5,0,26,31,49,0,0,0,0,15,0
ZNF516,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF711,97,56,74.08335,124,100,102.25,148,37,86,111.5,86.75,31.5,0,16,77,56.5,0,0,0,0,23,0
